Date,White,Black,Result,Elo White,Elo Black,Time Control,Game URL
2023-11-08 05:42:41,aresadistya,riya123498,resigned,406,366,600,https://www.chess.com/game/live/82103218978
2023-11-08 05:47:18,riya123498,x-1074064299,win,375,409,600,https://www.chess.com/game/live/82103262752
2023-11-08 05:58:24,adarshryhbe,riya123498,resigned,424,368,600,https://www.chess.com/game/live/82103292750
2023-11-08 06:07:06,riya123498,quoicoumich,resigned,358,297,600,https://www.chess.com/game/live/82103336640
2023-11-08 06:12:30,Dengjoan,riya123498,resigned,412,351,600,https://www.chess.com/game/live/82103377396
2023-11-08 08:14:07,riya123498,KrystianHorus,win,357,278,600,https://www.chess.com/game/live/82104000294
2023-11-08 08:26:47,riya123498,Joely89,win,365,339,600,https://www.chess.com/game/live/82104011640
2023-11-08 08:38:54,Mesasmart,riya123498,win,355,373,600,https://www.chess.com/game/live/82104078920
2023-11-08 08:42:41,riya123498,MJOMAD,win,379,272,600,https://www.chess.com/game/live/82104144042
2023-11-08 09:02:26,riya123498,Threelanes,timevsinsufficient,380,433,600,https://www.chess.com/game/live/82104164106
2023-11-08 11:40:33,TooManyBuckets,riya123498,win,342,387,600,https://www.chess.com/game/live/82105165304
2023-11-08 11:44:54,riya123498,kaldelta,checkmated,381,479,600,https://www.chess.com/game/live/82105256002
2023-11-08 11:57:39,04032000m,riya123498,resigned,319,371,600,https://www.chess.com/game/live/82105288998
2023-11-08 12:06:35,riya123498,Maximdea,win,378,309,600,https://www.chess.com/game/live/82105376512
2023-11-08 12:43:23,TheItalianon,riya123498,resigned,471,372,600,https://www.chess.com/game/live/82105670230
2023-11-08 12:51:45,peypey_ominika6,riya123498,win,337,379,600,https://www.chess.com/game/live/82105717408
2023-11-08 13:10:27,riya123498,isaiahxelijah29,win,389,468,600,https://www.chess.com/game/live/82105786918
2023-11-08 14:27:33,Ashterea,riya123498,win,404,398,600,https://www.chess.com/game/live/82106558746
2023-11-08 14:37:09,riya123498,Delahoja330,win,406,411,600,https://www.chess.com/game/live/82106570280
2023-11-10 14:56:42,riya123498,Hades1266,resigned,399,444,600,https://www.chess.com/game/live/82125456722
